,node,PD1_14,PD1_15,PD1_6,PD1_62,PD1_10,PD1_47,PD1_75,PD1_21,PD1_49,PD1_56,PD1_16,PD1_29,PD1_72,PD1_65,PD1_33,PD1_41,PD1_44,PD1_61,PD1_63,PD1_70,PD1_64,PD1_32,PD1_39,PD1_45,PD1_50,PD1_57,PD1_76,PD1_74,PD1_77,PD1_30,PD1_36,PD1_60,PD1_38,PD1_43,PD1_78,PD1_81,PD1_11,PD1_13,PD1_18,PD1_23,PD1_25,PD1_26,PD1_9,PD1_24,PD1_7,PD1_59,PD1_73,PD1_84,PD1_20,PD1_8,PD1_19,PD1_4,PD1_46,PD1_79,PD1_83,PD1_67,PD1_1,PD1_68,PD1_82,PD1_27,PD1_12,PD1_53,PD1_51,PD1_2,PD1_80,PD1_69,PD1_71,PD1_5,PD1_54,PD1_85,PD1_66,PD1_17,PD1_55,PD1_28
87,ADD3,-0.165606,1.03657,0.0878484,0.297312,-0.0434718,0.202602,0.152288,0.559359,0.584426,-0.695424,-0.15069,0.153609,-0.633254,0.0380954,0.879408,-0.575449,-0.086023,0.724545,-0.319901,-0.325043,0.193444,0.607712,0.137937,-0.089748,-0.440348,-0.0646399,0.337837,0.985455,0.993362,0.704524,0.216541,0.376214,0.0876329,0.584358,1.18009,0.931801,0.173286,-0.326362,1.29373,0.0765209,0.602059,-0.807327,1.70294,-0.630284,0.209743,-0.325881,0.601061,0.162463,1.02946,0.218922,1.30918,0.0127923,0.610153,0.336287,-0.070531,-0.627371,0.504649,0.0332018,0.505695,0.230037,0.285,0.41997,-0.279043,-0.416897,0.215263,0.222103,-0.506554,0.896142,0.367967,0.20328,-1.38662,0.291306,0.178678,0.961615
88,ADH5,0.139581,0.906527,1.00781,1.43274,0.190851,0.311061,0.054144,0.0792284,1.20164,0.96368,0.138482,1.03933,0.684623,0.0368763,-0.588588,0.0230382,0.365969,0.757662,0.378517,0.235776,0.98579,0.868959,-0.628876,-0.380408,0.699423,0.626901,0.705282,-0.109864,-0.320328,0.129822,0.0332325,0.0593326,-0.20283,-0.603251,0.0978999,0.642609,0.596123,-0.548847,1.10488,0.771944,0.472531,0.677253,1.95644,0.366619,0.158055,0.349701,1.67385,0.589182,-0.256741,0.948409,0.524277,0.038944,0.36654,1.06473,1.19597,0.305016,0.0681886,1.48716,0.631346,0.393952,-0.50725,0.626653,0.738577,0.621183,0.0736429,0.199467,-0.276973,0.0726223,0.693119,0.0973415,0.800207,0.322389,0.126821,0.778289
89,ADI1,0.0416385,0.276314,0.680465,-0.012998,-0.872554,0.526355,-2.11786,0.749003,-0.0322568,-0.513787,0.319139,1.26936,-0.0211214,-1.66998,-1.41319,0.168295,-0.611498,0.436992,-1.3651,0.102918,0.267367,-0.372859,-1.485,-1.85089,1.02459,-0.160117,-0.805486,1.06667,-1.62263,-1.13045,-1.22626,-0.481474,-0.28585,0.507323,-3.0344,0.650518,-0.482295,-0.127345,-0.563135,-1.23377,-0.855484,1.43622,1.76545,0.927482,0.0454738,-0.958618,-0.832326,-1.36095,0.358769,-1.30112,-0.366827,-1.12005,-0.571002,-1.14453,0.443617,-1.0247,-0.628966,0.650524,-0.251576,-1.54901,-0.417022,-1.85718,-0.235553,-0.841957,-1.30041,-2.32956,-1.49529,-1.14701,0.554349,-1.96479,-2.07278,-0.645493,-1.28932,-1.2069
90,ADK,-0.0311198,0.99371,0.412609,1.02506,-0.161669,0.367638,0.705779,1.08048,1.23618,1.62602,-0.423368,1.03814,0.198868,0.128701,-1.3887,-0.638986,0.407826,0.701393,0.535356,0.403096,-0.10494,-0.172931,-1.58646,0.785036,0.709695,0.601828,1.52098,0.0,0.37644,0.234748,0.710778,-0.372364,-0.648104,-1.14003,0.480217,0.0,-0.496799,0.884583,1.19099,-0.104641,-0.208604,0.328252,0.393076,0.954023,0.311062,0.0940001,1.74507,1.00659,0.176015,-0.0500577,0.677358,0.804384,0.396432,1.26529,0.288764,0.365936,0.783172,2.34489,0.11151,0.770116,-0.36294,0.856861,0.241009,0.151985,-0.315226,0.725967,0.282804,-0.559543,-0.406556,-0.370729,0.497778,0.794718,-0.470558,0.996163
91,ADNP,-1.41491,0.0834178,-0.82603,-0.372889,-0.168801,0.222672,-0.630169,-1.24041,-1.01357,-0.52978,0.101645,-0.0967047,-1.10131,-0.38763,0.113829,-0.892973,0.380089,0.0817337,-0.699566,-1.1837,-0.170089,-1.51286,-0.552028,-1.19697,-0.52835,-0.129643,-1.16211,0.42751,0.92226,-0.120788,-0.573959,-0.176386,-0.698101,0.869241,0.141004,0.0,1.1649,-0.361258,-0.636966,-0.599551,-0.160521,-0.872086,-0.0469547,-0.590716,-1.07765,-0.273967,-1.92971,-0.56557,-0.671151,-0.713693,-0.18344,-0.702073,-0.79139,-0.143838,-2.29571,-1.43843,-0.0823731,-1.49609,-1.29315,-1.20302,-1.05453,-0.306033,-0.565228,0.668454,-0.0905399,-1.04303,-0.396143,0.49242,-0.00857377,-0.192731,-0.179665,0.107334,-0.560529,-1.408
92,ADO,1.13955,0.0,0.939422,1.40777,0.400547,0.358585,-0.220218,1.68642,0.195034,1.69573,1.14362,1.09508,0.641776,1.0019,0.849238,0.0,0.341432,0.0679071,0.86606,1.12312,0.0,-0.706712,-0.437392,0.44737,1.67143,-0.0605252,0.542497,0.0,-0.231794,0.0,0.883383,-0.0353647,0.873702,0.073916,0.513628,0.0,0.432778,0.367297,0.894572,0.252142,0.834382,0.191459,1.45491,1.23988,0.792446,0.718071,1.67416,0.106578,0.557005,0.153661,0.730825,0.87347,0.622256,0.703927,1.64155,0.81474,0.885096,1.75443,1.05233,0.0,0.359001,0.0,1.92602,-2.60269,0.0285417,-0.080969,-0.0142164,-0.0513367,0.0985677,0.0443086,-0.401392,0.0,0.997446,0.0
93,ADPGK,0.61233,0.926283,0.984547,1.23197,0.283892,0.856525,0.444253,1.43778,1.39245,0.31008,-0.294402,0.031177,0.959123,-0.000524729,0.282779,0.670246,0.657091,-0.211114,-0.466453,0.898436,0.368677,-0.155634,0.773193,0.802189,0.724869,0.371311,-0.829042,0.0,0.222464,1.30783,0.743313,-0.206203,1.30115,0.37474,2.28656,0.0,1.13564,0.366773,-0.739607,0.257935,0.564812,-0.611786,0.858115,0.0749544,0.369186,0.123149,0.785868,0.165248,0.891046,1.11579,0.641089,1.40697,0.816704,1.33515,2.71974,0.511577,0.424502,1.54842,1.13873,0.461917,-0.0705304,0.724243,0.599445,-0.730581,0.755674,0.255257,1.69424,1.80093,-0.0562196,0.839738,0.231043,0.443327,-0.26581,0.894819
94,ADPRH,-0.401223,1.66116,1.06825,0.0,-0.196977,0.052778,-0.422716,0.0,0.874827,-1.01619,0.292489,-0.178215,-0.261863,0.770835,-1.0616,0.0,-1.25943,0.0,-3.35801,0.512788,-0.476498,0.429489,0.730594,0.83033,0.999894,0.401308,1.00028,0.0,0.0,1.0127,1.17892,0.0,0.049572,0.0,0.0,0.0,0.0,0.53004,1.28394,-0.598257,0.76476,0.0840648,0.794116,1.66436,0.235967,0.0992903,1.01799,0.262453,-0.785133,1.23197,0.15849,0.0274686,-0.0673528,0.971591,0.584031,0.0,-0.898255,1.10048,0.747682,1.94407,0.808812,0.6994,-0.339823,0.194199,0.314785,-1.3043,0.413963,0.0668076,2.31311,0.82491,-0.288271,0.335641,0.771552,2.07297
95,ADPRHL2,0.746031,0.678256,1.95796,1.38579,0.906019,1.10314,0.616571,1.70923,1.28094,1.38804,0.851971,1.43185,0.897188,0.406618,1.33002,1.10763,0.289188,1.58152,0.383889,1.12082,0.954798,0.784554,1.0954,0.886816,0.773801,0.999032,1.37666,0.0,-0.345526,0.693873,0.83692,0.484567,0.885527,-0.677535,0.704948,0.0,-0.0870426,0.676428,0.745232,0.79632,0.756777,1.38654,2.35139,1.6193,1.78333,1.49622,2.47554,0.340466,0.688516,1.11165,1.28018,0.983103,1.68914,1.06563,1.60208,0.332055,1.41425,2.2527,1.16631,0.570504,1.08824,0.0334319,-0.351565,0.410363,-0.086291,-0.545039,0.305509,0.719734,0.368445,1.2382,-0.183543,0.439556,0.658026,0.488688
96,ADRBK1,0.926484,0.973198,1.60905,-0.238611,0.690648,1.51027,0.64221,0.831971,1.47519,-0.443394,1.35715,1.02657,0.617345,0.245724,1.27917,0.638206,0.0743822,-0.234549,-1.18427,1.06631,0.91124,0.114784,0.428712,0.644339,0.454522,0.459342,0.111363,0.0,1.29375,1.15835,0.170981,0.347569,1.09465,-0.451751,0.481351,0.0,0.550694,1.50447,-0.179344,0.538339,1.30708,-0.239686,0.627526,0.0593032,0.87473,0.776721,1.36582,0.887683,1.41674,1.6815,2.04031,0.182971,1.42484,1.05952,0.170848,1.10863,0.480979,-0.44649,1.89063,0.865883,0.599492,1.04524,0.802724,0.356997,0.458363,0.851187,1.06735,0.441091,-0.135851,0.985624,-1.26119,-0.0205063,-0.526229,1.30668
97,ADRM1,1.31095,-0.216335,-0.127378,0.242733,-0.189875,-0.686162,-0.545645,0.762264,0.284068,0.769307,0.153279,0.331167,0.448025,-0.0144908,-0.570599,0.795499,-0.227615,-0.0392447,-0.845572,0.870169,-0.436332,0.00840323,-1.15449,-0.86544,0.565709,0.160588,1.55412,0.0,-0.538103,0.406121,-0.0944223,-0.185874,0.732654,-0.0351884,-0.796375,0.0,-0.681678,0.177051,0.288423,0.210887,0.677083,-0.0617552,-0.137893,-0.228198,0.309529,-1.00945,1.37636,1.51327,0.098777,0.647183,-0.479604,0.301762,-1.1266,0.796264,0.984456,0.89311,0.702812,2.2161,0.111768,-0.312867,-0.440565,-0.193772,-0.980489,0.0217925,-0.21818,-1.30666,-0.395685,0.290224,-0.0124929,-0.882509,0.162867,0.377025,-0.752197,-0.380283
98,ADSL,0.103132,-0.18260200000000001,0.953142,0.457859,-0.158651,-0.24802500000000002,-0.6942400000000001,-0.341996,0.276507,-0.0241951,1.25588,-0.928766,-1.06238,-0.0975824,0.309574,-0.127352,-0.281527,-0.953215,0.249682,-0.692853,-0.160373,1.15682,0.247773,-0.383963,-0.506251,-0.427283,-0.331768,0.0659142,-0.622359,0.049688199999999995,0.198666,1.01922,-0.719836,-0.0527772,0.526345,-0.500857,-0.48920199999999997,0.579942,2.4813,0.101955,-0.120531,-0.97648,1.27891,0.127116,0.483592,-0.537351,0.299865,-0.0928873,-0.290178,-0.496789,0.162939,-0.416463,0.32603,0.0624554,0.386171,0.0602084,0.176943,0.34421000000000007,-0.729186,-1.11048,0.404571,0.8298070000000001,-0.19576399999999997,0.23630699999999996,-0.529359,-0.640556,-0.833116,0.237401,-0.0876731,-0.2134,2.10622,-0.561317,0.39013800000000004,-0.188349
99,ADSS,-0.0264615,-0.824587,-0.0394012,-0.36191,-0.0563859,-0.152693,-1.13124,-0.930736,-0.637929,-0.816339,-0.998525,-0.50327,-0.768685,-0.283855,-1.46858,-0.406035,-1.82085,-0.770759,-0.653827,-0.736302,-0.878968,-2.53929,-0.647643,-1.35769,-0.365602,-0.438857,-0.233109,-1.51956,-1.38125,-1.07036,-1.49495,-0.936386,-2.25523,-0.851044,-0.456251,-0.38267,-0.248195,0.0371807,-0.722557,-0.475584,-0.31971,-0.969325,-0.577427,-0.774191,-0.370317,-0.382367,0.216737,-0.103947,-0.963255,-1.50738,-0.790468,-1.17847,-0.904339,-0.634073,-0.831676,-0.748962,-0.746137,-0.129507,-0.938947,-2.24481,-1.31598,-0.817702,-1.0978,-1.16141,-1.03444,-1.28239,-1.2535,-1.31068,-0.576016,-1.0924,-0.909683,-0.870213,-1.18628,-1.5455
100,AEBP1,0.0,0.980617,2.22429,0.0,4.35555,2.81382,0.0,3.46623,3.33468,1.15786,3.68669,1.80855,4.29336,2.05804,2.34497,4.19729,0.0840286,0.0,2.32377,2.56012,2.55933,2.42847,0.0,3.49503,3.45143,4.54982,0.0,0.0,2.32868,3.17793,1.35406,3.17729,2.65569,3.69823,3.0643,4.08483,3.81177,0.0,2.52274,2.89721,4.12051,4.69238,2.65336,3.66097,0.857527,2.49701,4.03176,0.0,1.68699,0.158985,-1.73219,1.97197,4.39569,3.94022,4.91968,3.15742,0.0,0.0,1.99382,1.74346,2.76253,0.0,3.33541,0.74962,3.26166,2.83638,3.42701,1.92131,3.88511,2.93665,0.0,4.54385,0.0,1.59939
101,AFG3L2,0.809941,0.591937,0.469263,1.779,0.982141,1.69263,1.41376,-0.851002,0.604645,1.64556,1.52172,1.69892,-0.614407,1.76901,1.64751,1.09985,1.65525,0.632708,0.82764,-0.616581,1.93188,1.58922,0.826427,0.0826732,0.890285,1.73831,-0.579863,0.0,0.203304,-0.0288552,1.93615,1.66225,0.149004,0.917156,0.803717,0.0,-0.0532208,0.0177172,-0.432331,1.40789,0.855255,3.41177,1.79269,0.322997,1.3157,1.1145,2.40734,-0.109116,0.642828,0.30857,1.05029,1.94973,1.29172,1.5291,-0.790043,0.0141784,0.807967,0.401383,0.038187,0.469493,1.82572,1.96575,1.08832,1.99475,2.15697,0.936572,0.907975,0.274765,1.4616,0.457094,-0.295456,1.0234,1.0026,0.797132
102,AGA,2.24002,3.20685,3.01741,2.443,3.82032,1.50162,2.76748,4.44728,2.94185,4.07214,1.60253,2.14228,3.95339,2.86374,1.16935,4.66748,0.531986,3.13016,2.21063,2.50083,1.32622,0.516562,2.11631,0.540239,4.34349,3.41055,2.32845,0.0,0.159106,0.579919,2.97263,2.13796,2.86418,1.45626,0.0,0.0,2.14017,0.0,3.77573,0.960223,2.13973,1.3779,1.94689,3.73604,4.09247,4.20896,1.18193,1.34432,3.25316,3.50049,2.8968,2.10468,5.31064,0.614488,4.08142,1.36416,3.17473,5.44424,4.10085,1.11037,1.00485,1.91464,0.0,1.31246,0.549713,-0.337461,0.0,2.7293,2.15009,-0.0871848,3.62168,3.4793,0.907942,2.73808
103,AGAP3,0.507988,0.431801,0.57431,0.0,1.45796,1.09503,0.201965,0.638049,0.58438,0.0,0.41259,0.81939,0.300389,0.0,0.467968,1.20157,-0.38026,0.0,0.87787,0.2558,0.346506,0.0234369,-0.401761,-0.156615,0.387823,0.0,-0.507559,0.0,1.04724,-0.41963,0.302359,0.0,-0.030425,0.807332,0.0,0.0,0.399746,-0.0253717,0.915611,-0.0367524,0.588154,0.134566,0.0139269,0.0724295,-0.00152516,0.622133,0.529658,0.95396,0.951543,0.450856,0.235498,0.895928,1.10455,-0.342449,-0.605144,0.461806,1.36315,0.68771,2.48085,-0.320141,1.329,0.0883751,-0.349961,0.150686,0.666754,1.75126,0.389878,0.433105,-0.0221226,0.589842,-1.2327,-0.0759548,0.0,0.720046
104,AGFG1,0.324255,0.536464,0.266942,0.641758,0.243868,-0.0572414,0.3843,0.280843,0.23736,-0.526695,-0.56757,0.0226186,-0.417284,0.404615,-0.56644,-0.58552,-0.445511,0.276737,0.353003,-0.888687,0.500653,-0.0133316,0.236615,0.14363,0.21647,0.378784,-0.00176564,-0.122826,-0.0170394,0.777254,-0.180097,-0.0939987,-0.819687,-0.0900294,0.299155,0.0,-0.173765,0.674567,-0.438018,-0.0535109,0.297078,-0.285775,-0.00420851,-0.272025,0.397573,-0.196622,0.0182686,0.729548,0.35057,0.0123718,-0.0651715,0.176349,0.340634,-0.301328,-0.492927,-0.739408,0.281952,1.16772,0.65092,-0.861193,0.0619885,0.109486,0.193176,0.278119,0.377087,-1.1209,-0.276675,1.30685,0.421685,0.36088,0.00868717,0.237741,0.151858,0.36604
105,AGK,-0.21179,-0.0629408,-0.418413,-0.128154,-0.0337402,-0.191099,0.022647,-0.144981,-0.408348,0.424619,-0.0100775,0.643403,-0.389193,0.221472,-0.172674,-0.305812,-0.177439,0.32835,-1.18793,-1.40968,-0.370934,-0.5130440000000001,-0.16562,-0.597849,-0.217539,0.171326,-1.14085,0.0,-0.673437,-1.11075,-0.616598,-0.687353,-1.72303,0.382626,-1.40414,0.0,-0.429315,-1.04874,0.867002,-0.268791,0.509516,0.677091,-0.0912561,-0.51894,-0.0178194,-0.686044,0.299745,-0.239596,-0.232631,-0.240947,0.051113,0.496248,0.583935,0.924855,-1.00674,-0.287392,0.32654,0.479566,0.00533214,-0.994353,0.0663257,-0.834661,-0.694725,-0.158326,-0.0495931,-0.305476,0.0906564,-0.185109,-0.0488445,-0.182051,-2.07771,-0.547926,-0.429149,-0.263577
106,AGL,1.0835,1.56738,1.71336,1.74328,1.1181,0.656347,-0.24187,0.413235,1.14069,0.668725,1.06332,1.09143,0.680389,0.863111,1.70625,0.396119,2.2932,1.61881,1.00636,0.0398923,2.82213,1.36315,0.205355,0.330062,0.522003,1.92266,0.425015,0.0,-0.185099,0.835372,1.59607,0.0630351,0.908034,0.722593,0.475124,0.0,0.15787,0.58489,1.00013,-0.252938,0.882712,2.21242,2.97027,0.257527,1.25934,0.63761,4.21584,0.733046,1.60096,1.17555,1.48237,0.494356,1.33034,0.775216,-0.592191,3.79014,1.22412,1.2638,1.0179,1.23741,1.49411,2.18952,1.48998,1.2486,0.454531,1.40435,0.830166,1.37737,1.0441,0.886233,0.42298,0.646794,2.71334,1.15719
107,AGO1,0.62844,0.831909,1.35022,0.735537,0.290249,0.787664,0.44519,-0.156386,1.1062,0.0,0.599439,-0.188376,0.0,0.867695,0.174856,1.10825,0.396646,0.359217,1.29917,0.0,1.31313,0.653545,1.04805,1.18186,2.16399,1.05708,0.0,0.0,1.24172,0.647049,0.612407,0.0140598,0.193944,0.800716,-1.04975,0.0,0.0,0.0,0.0,0.0,0.824283,0.0615733,1.24042,0.906235,0.366764,0.925449,1.81192,0.0,2.45538,1.34097,2.07597,0.624739,1.65999,1.70251,0.0,0.0,0.589366,0.0,0.467264,0.780743,0.651786,1.36962,1.47997,0.96722,1.00863,0.0,0.0,1.6303,-0.143578,1.83572,0.0,1.61049,0.921856,0.0
108,AGO2,1.02334,0.120757,0.770895,0.592731,0.0685444,0.786522,0.770527,0.283593,0.787746,0.537793,0.25596,0.538926,-0.77379,1.38189,0.774676,1.03814,0.782628,1.03533,0.634348,0.00746629,1.64026,0.342871,0.730107,0.33692,0.244433,1.5531,0.540636,0.0,1.3486,0.552416,0.871445,1.34194,-0.183121,1.17958,2.15896,0.0,1.78734,0.0149775,-0.237389,-0.151133,0.724453,0.920557,1.39024,1.40891,0.986404,1.11473,1.47698,0.279741,0.742383,0.450709,0.996689,0.368004,0.994675,1.33582,0.337107,1.03836,0.64006,-0.148578,0.422993,0.826609,0.274908,0.380597,0.842174,1.4165,0.758288,0.460166,0.746918,-0.137214,-0.886829,-0.460211,0.701769,0.696908,0.380709,0.811935
109,AGPAT1,0.063119,2.19501,1.1874,1.74024,0.40461,0.896483,2.20349,1.64148,0.0,2.38666,0.0,0.804076,0.0,1.12806,0.0,1.93146,1.20949,0.0,1.89979,0.0,1.43595,1.81308,0.963472,0.0507333,-0.115399,1.62312,1.55248,0.0,0.0,0.0,1.09876,0.0,-1.413,2.36504,2.35389,0.0,1.54125,0.641655,0.98659,1.41194,0.551864,0.494531,1.03509,0.585693,1.9306,0.0,0.0,0.519959,0.9899,1.29398,1.23008,2.58775,1.64854,2.1211,0.0,0.0,-0.135706,0.0,0.34675,0.261144,0.7938,0.506866,1.42288,0.837382,0.0,0.0,0.0,0.846735,0.957538,0.620994,0.0,0.0,0.0,-0.396889
110,AGPAT5,0.0894544,0.093133,-0.233214,1.38662,-0.473645,-0.373027,0.321818,0.0,0.943437,-0.931243,-1.56422,0.0613791,-0.770814,1.56877,-1.03607,-0.723567,0.605797,0.265209,-0.980131,0.0,-0.153572,1.08221,0.275436,-0.0747976,-0.618592,-0.00243121,-0.427824,0.0,1.06945,-0.00992134,0.822216,-0.627452,0.0,0.169133,0.685634,0.0,-0.915349,0.504126,0.405053,-0.343523,-0.75242,-2.76557,0.651406,0.979664,1.03402,-1.47845,0.36542,0.667,-0.1813,-0.0913206,0.920009,0.694888,0.100889,0.680437,-1.68295,-0.489265,-0.712533,1.01733,0.311969,-1.02835,-0.423374,0.428443,-0.402067,0.704076,0.697727,0.0870622,0.454789,0.876004,0.685916,0.0676693,0.0132294,-0.714531,1.06245,-0.254979
111,AGPAT6,0.302227,1.64587,-1.14943,0.915096,1.78242,-0.580234,0.98653,-0.737483,0.424395,-0.150327,0.212296,0.766833,0.0,-0.427281,1.32032,0.695454,1.19407,0.42185,3.65069,-1.80028,1.3331,0.334092,0.461919,-0.194892,0.46398,0.0,0.0,0.0,0.114382,1.07196,0.618684,-1.01899,0.0,0.09273,0.0,0.0,0.484313,1.05939,3.88064,0.706719,0.265642,2.29788,0.0252688,1.25427,0.152924,4.25173,0.668445,0.110535,0.201035,0.208403,0.831101,1.10904,1.36418,0.463066,1.94084,-1.71068,0.410134,1.83909,0.396908,0.405439,1.03955,1.42617,-0.461999,-1.57335,1.49733,0.775661,1.89315,0.329956,0.461985,-0.169294,-0.446303,0.933644,-0.478389,-0.624091
112,AGPS,-1.46127,0.238946,-1.06033,-0.9728,0.155631,-0.70544,-0.900371,-1.10291,-0.439388,-0.762012,-1.38384,-0.664881,-1.40235,-1.50269,-1.47434,-1.38444,-1.04249,-0.594488,-0.0961003,-1.87667,-0.714846,-0.685489,-0.10102,0.2783,-0.465273,-0.94991,-0.305218,-1.05109,-0.808941,-0.14682,-0.084581,-0.511735,-1.9325,-1.11085,-0.327588,0.0,-1.02754,0.198805,-0.37345,-0.395562,-0.558261,-0.646717,-0.474779,-0.427924,-0.691028,-0.158674,-0.348989,-0.500272,-0.580547,-1.05615,-0.930271,-0.954196,-0.570527,-1.03464,-0.0991584,-1.30226,-0.157646,-0.454989,-1.55236,-0.52547,-0.347286,0.029903,-0.359559,-0.469984,-0.315666,-0.921237,0.115338,-0.563444,-0.548444,-0.332713,-0.733887,-0.0959458,-1.35135,0.42499
113,AGRN,1.2943,1.63496,1.33029,3.34708,2.13069,0.497974,2.71705,2.19181,1.31983,1.70585,3.85574,1.36964,1.14676,-1.0676,1.80746,1.96923,0.0,2.86528,0.687435,1.52273,0.824529,2.89613,0.789166,0.564241,1.18413,4.53175,0.0,0.0,0.0,2.11375,0.0,4.44556,2.67152,0.0,2.75908,0.0,2.25503,1.5702,1.82203,0.975586,3.29687,0.536312,1.25992,0.93328,1.20966,2.29164,2.72263,0.0,1.56143,0.936846,0.664033,1.51903,1.93004,2.60363,2.47347,2.18824,2.11999,1.49384,1.14139,1.46434,1.72157,1.52209,1.54422,2.08569,1.51241,4.0383,0.0,2.10989,2.11173,1.65302,1.84414,2.92289,1.05437,2.26585
114,AGTRAP,1.55344,1.61157,1.7182,0.442432,1.75846,0.610617,1.90858,1.27435,1.48759,1.98505,0.774629,2.61446,1.57201,0.980557,1.87488,2.6758,1.39454,1.26853,0.462091,-0.310917,2.60299,2.03841,1.44416,1.26914,0.046428,1.42343,1.90341,0.0,0.702148,1.82864,2.05442,1.95859,1.17762,0.240427,1.58029,0.0,0.0,0.902624,0.897772,0.0,1.08456,2.23434,2.26083,1.74088,1.189,1.67096,2.93152,-0.26947,1.52117,0.972345,0.679018,2.39288,2.05562,2.09917,1.29628,0.79982,2.01388,2.6126,1.75784,0.382277,1.93329,1.7685,1.32836,1.0889,1.3085,1.40059,1.53152,2.25226,1.38843,2.27916,0.746612,1.05513,2.44728,1.56214
115,AHCTF1,-0.384425,-0.0631396,-0.399938,-1.13196,-0.430259,0.0245104,-0.658045,-0.923237,-0.755161,0.373172,0.59226,0.0681538,-1.77556,0.0815437,0.669169,-0.154873,0.26164,0.0606628,-0.549778,-1.61488,0.695284,-0.610867,0.314565,0.136115,0.218177,-0.12571,-0.559029,0.0,0.256891,0.620236,-0.959235,-0.598301,0.234353,-0.0981136,0.418054,0.0,0.519674,-0.238859,0.635746,0.347471,0.304138,-0.042103,-0.52103,-0.962741,0.243263,0.774569,-0.0473547,-0.189185,-0.294761,-0.403717,0.0947575,0.500309,-0.432167,-0.204484,-1.12062,-1.27009,0.353507,-2.18782,-0.200111,0.0,-0.162336,0.180151,-0.146281,-0.258658,-0.537493,1.36139,-0.243418,-0.718319,0.32649,-0.0545908,-0.193288,1.28048,0.0826834,0.113876
116,AHCY,-0.127073,-0.436427,-0.116826,-0.140795,-0.329657,-0.685422,-0.346689,-0.41885,0.316365,0.0596446,0.992329,-0.341436,-0.50312,0.43154,-1.03391,-0.494126,-0.0731887,0.0599024,0.369901,0.108603,0.296325,-0.0557155,-0.398265,-0.242766,-0.588408,-0.0420519,-0.0408635,0.179643,-0.319886,-0.150645,0.149486,0.309276,-0.457959,-0.402078,-0.530034,-0.158177,-0.546877,-0.164193,-0.254858,-0.652778,0.131753,-0.660473,0.775515,0.165982,-0.650231,-0.102867,0.687176,0.253392,0.0730919,-0.430927,-0.0939374,-0.0288594,0.144967,0.2075,0.262368,-0.561171,-0.22864,-0.0469494,0.13781,-1.01594,0.231237,-0.50277,-0.859304,0.133513,-0.13809,-0.577722,-0.41684,0.437026,-0.118342,-0.388509,0.521555,0.280132,0.422044,-0.397152
117,AHCYL1,-0.381902,0.192875,-0.640593,-0.0153672,-0.601513,-0.263099,-0.0293071,-0.95554,-0.380394,-0.213896,-0.654369,-0.15213,-0.977601,-0.918799,-0.807145,-0.251417,-0.43363,-0.523539,-0.857469,-0.632031,0.0925085,0.0495795,-1.1737,-0.863602,-0.0862208,0.390002,0.882703,-0.247854,-0.722851,-0.206923,-0.0838295,-0.202353,-0.518193,-0.456953,-0.698431,0.322127,-0.45869,-0.474568,-0.373285,-0.727062,-1.02064,-0.754152,-0.0342166,-0.0274576,0.0646166,-0.273856,-0.590327,1.0782,-0.182729,-0.008918,-0.0080207,-0.257252,-0.427625,-0.303824,-0.730543,-0.323166,0.487357,-0.369146,-0.489703,-0.829795,-0.0294847,-0.126811,0.312385,-1.28487,-0.838597,-0.225441,0.279967,-0.71627,-0.799791,-0.740833,0.466738,-0.544007,-0.215664,0.105392
118,AHNAK,-2.05829,0.834851,-0.566184,0.0802379,-0.451156,-0.760915,-1.03366,0.0251943,0.3537,-0.953513,-1.2351,-0.308635,-1.97021,0.0523586,-3.15579,-0.493962,-1.91722,1.01918,0.486144,-2.36196,-0.53059,-1.36649,-2.20498,-0.414406,-0.399568,-0.923275,-1.62992,-0.836692,-1.05287,0.0936566,-0.608558,-0.847227,-1.9179,-1.13673,-0.727595,0.645109,-2.00146,-0.817687,1.08724,-0.657947,-1.00988,-0.950852,-1.05268,0.847209,1.13828,-0.848348,-1.69941,0.0788012,-0.76868,-0.932141,-0.868717,0.13988,-0.82758,-0.445191,-1.8524,-1.3431,-0.115789,-0.778005,-0.0739567,-0.73492,-1.86721,-0.191921,-0.452533,-1.35164,-1.31369,-0.701665,-0.51979,0.0652154,-1.1381,0.244498,-0.17529,-0.0388401,0.544826,0.55036
119,AHNAK2,0.249388,2.91574,-2.33082,-0.0570818,2.68375,0.482715,0.0,1.90888,2.53779,0.938878,0.0,-0.795462,-2.85585,1.54759,-2.96017,-0.112329,-0.566417,1.38018,3.71783,-3.13957,-1.85457,-0.0496997,1.90021,1.9889,3.27617,-0.937164,0.0,0.0,-0.0231633,-0.660658,1.93533,-1.49405,-0.906693,-0.77547,0.0,0.0,-0.232573,2.31578,3.78791,-3.81036,0.266095,0.291378,1.65942,3.19975,3.12005,-1.08218,1.48985,1.61488,0.574249,0.0,1.15534,2.17817,1.59751,-2.77379,0.0,-2.68474,2.28332,0.0,0.0,-2.67709,1.2051,2.83417,-1.05969,0.0,0.309041,0.0,-0.477207,-0.411972,-0.225208,2.00467,2.93316,0.535227,0.0,2.02611
